user,rate_blink_left,rate_blink_right,rate_smile_or_not,blink_left,blink_right,smile_or_not
1,0.68,0.94,0,0,0,0
1,0.99,0.85,0,0,0,0
1,0.82,0.99,0,0,0,0
1,0.81,1,0,0,0,0
1,0.79,0.99,0,0,0,0
1,0.65,0.99,0,0,0,0
1,0.99,0.99,0,0,0,0
1,0.7,0.84,0,0,0,0
1,0.89,0.99,0,0,0,0
1,1,0.33,0,0,1,0
1,0.83,0.99,0,0,0,0
1,0.94,0.99,0,0,0,0
1,0.76,0.99,0,0,0,0
1,1,0.97,0,0,0,0
1,0.54,0.24,0,0,1,0
1,0.58,0.82,0,0,0,0
1,0.57,0.49,0,0,1,0
1,0.46,0.62,0,1,0,0
1,0.8,0.99,0,0,0,0
1,0.65,0.79,0,0,0,0
1,0.88,0.99,0,0,0,0
1,0.81,0.91,0.26,0,0,1
1,0.99,0.59,0,0,0,0
1,0.67,0.94,0,0,0,0
1,0.89,0.65,0,0,0,0
1,0.95,0.86,0,0,0,0
1,0.76,0.74,0,0,0,0
1,0.84,0.97,0,0,0,0
1,0.84,0.86,0,0,0,0
1,0.77,0.99,0.3,0,0,1
1,0.99,0.8,0,0,0,0
1,0.99,0.98,0,0,0,0
1,0.64,0.94,0,0,0,0
1,0.94,0.98,0,0,0,0
1,0.64,0.99,0,0,0,0
1,0.67,0.94,0,0,0,0
1,0.98,0.66,0,0,0,0
1,0.14,0.95,0,1,0,0
1,0.99,0.99,0,0,0,0
1,0.62,0.94,0,0,0,0
1,0.99,0.59,0,0,0,0
1,0.68,0.94,0,0,0,0
1,0.81,0.99,0,0,0,0
1,0.91,0.99,0,0,0,0
1,0.91,0.92,0,0,0,0
1,0.79,0.99,0,0,0,0
1,0.67,0.3,0,0,1,0
1,0.8,0.77,0,0,0,0
1,0.85,0.82,0,0,0,0
1,0.71,0.99,0,0,0,0
1,0.73,0.84,0.39,0,0,1
1,0.23,0.36,0,1,1,0
1,0.92,0.76,0.97,0,0,1
1,0.78,0.99,0,0,0,0
1,0.99,0.59,0,0,0,0
1,0.95,0.99,0.29,0,0,1
1,0.99,0.83,0.31,0,0,1
1,0.7,0.84,0,0,0,0
1,0.99,0.75,0,0,0,0
1,0.72,0.9,0,0,0,0
1,0.91,0.94,0,0,0,0
1,0.57,0.39,0,0,1,0
1,0.59,0.23,0,0,1,0
1,0.85,0.51,0,0,0,0
1,0.71,0.28,0,0,1,0
1,0.22,1,0,1,0,0
1,0.76,0.99,0,0,0,0
1,0.65,0.79,0,0,0,0
1,0.77,0.94,0,0,0,0
1,0.65,0.76,0,0,0,0
1,0.9,0.85,0,0,0,0
1,0.71,0.82,0,0,0,0
1,0.89,0.99,0,0,0,0
1,0.99,0.29,0,0,1,0
1,0.95,0.99,0,0,0,0
1,0.65,0.92,0,0,0,0
1,0.64,0.94,0,0,0,0
1,0.89,0.97,0.29,0,0,1
1,0.7,0.73,0.29,0,0,1
1,0.95,0.99,0.29,0,0,1
1,0.97,0.72,0,0,0,0
1,0.76,0.89,0.46,0,0,1
1,0.78,0.69,0,0,0,0
1,0.46,0.62,0,1,0,0
1,0.75,0.74,0,0,0,0
1,0.76,1,0,0,0,0
1,0.79,0.76,0,0,0,0
1,0.63,0.63,0,0,0,0
1,0.95,0.99,0,0,0,0
1,1,0.67,0,0,0,0
1,0.32,0.83,0,1,0,0
1,1,1,0,0,0,0
1,0.84,1,0,0,0,0
1,0.95,0.84,0,0,0,0
1,0.81,0.94,0,0,0,0
1,0.84,1,0,0,0,0
1,0.98,0.33,0,0,1,0
1,0.99,1,0,0,0,0
1,0.71,0.83,0,0,0,0
1,0.88,0.9,0,0,0,0
1,0.91,0.94,0,0,0,0
1,0.75,0.23,0,0,1,0
1,0.94,0.98,0,0,0,0
1,0.87,0.99,0.48,0,0,1
1,0.54,0.37,0,0,1,0
1,0.93,0.99,0,0,0,0
1,0.99,1,0,0,0,0
1,0.8,0.99,0,0,0,0
1,0.54,0.99,0,0,0,0
1,0.75,0.76,0,0,0,0
1,0.76,0.74,0,0,0,0
1,0.86,0.99,0,0,0,0
1,0.81,0.99,0,0,0,0
1,0.99,0.8,0,0,0,0
1,0.84,0.99,0,0,0,0
1,0.77,0.99,0.3,0,0,1
1,0.94,0.84,0,0,0,0
1,0.85,0.99,0,0,0,0
1,0.63,1,0.63,0,0,1
1,1,0.41,0,0,1,0
1,0.97,0.72,0,0,0,0
1,0.65,0.99,0,0,0,0
1,0.63,0.76,0,0,0,0
1,0.7,0.86,0.96,0,0,1
1,0.77,0.94,0,0,0,0
1,0.94,0.99,0,0,0,0
1,0.93,0.99,0,0,0,0
1,0.95,0.93,0,0,0,0
1,0.8,0.99,0,0,0,0
1,0.67,0.3,0,0,1,0
1,0.95,0.84,0,0,0,0
1,0.98,0.33,0,0,1,0
1,0.99,0.8,0,0,0,0
1,0.83,0.99,0,0,0,0
1,0.82,0.77,0,0,0,0
1,0.78,0.99,0,0,0,0
1,0.73,0.84,0.39,0,0,1
1,0.99,1,0.26,0,0,1
1,0.94,0.57,0.74,0,0,1
1,0.93,0.83,0,0,0,0
1,0.57,0.89,0,0,0,0
1,1,0.41,0,0,1,0
1,0.54,0.98,0,0,0,0
1,0.23,0.36,0,1,1,0
1,0.84,0.99,0,0,0,0
1,0.83,0.99,0,0,0,0
1,0.94,0.57,0.74,0,0,1
1,0.99,0.75,0,0,0,0
1,0.93,0.83,0,0,0,0
1,0.72,0.9,0,0,0,0
1,0.84,0.97,0,0,0,0
1,0.77,0.74,0,0,0,0
1,0.82,0.75,0,0,0,0
1,0.84,0.34,0,0,1,0
1,0.91,0.56,0,0,0,0
1,0.44,0.87,0,1,0,0
1,0.78,0.72,0,0,0,0
1,0.8,0.96,0,0,0,0
1,0.74,0.87,0,0,0,0
1,0.55,0.99,0,0,0,0
1,0.85,0.99,0,0,0,0
1,0.92,1,0,0,0,0
1,0.76,0.98,0.96,0,0,1
1,0.89,0.69,0,0,0,0
1,0.35,0.17,0,1,1,0
1,0.54,0.37,0,0,1,0
1,0.89,0.99,0,0,0,0
1,0.85,0.51,0,0,0,0
1,0.88,0.99,0,0,0,0
1,0.99,0.59,0,0,0,0
1,0.81,1,0,0,0,0
1,0.92,1,0,0,0,0
1,0.91,0.56,0,0,0,0
1,0.8,0.94,0,0,0,0
1,0.71,0.83,0,0,0,0
1,0.78,0.69,0,0,0,0
1,0.77,0.74,0,0,0,0
1,0.92,0.76,0.97,0,0,1
1,0.75,0.85,0,0,0,0
1,0.54,0.24,0,0,1,0
1,0.99,0.29,0,0,1,0
1,0.62,0.94,0,0,0,0
1,0.9,0.62,0,0,0,0
1,0.95,0.86,0,0,0,0
1,0.88,0.99,0,0,0,0
1,0.99,1,0.26,0,0,1
1,0.8,0.98,0.95,0,0,1
1,0.89,0.75,0,0,0,0
1,0.93,0.81,0,0,0,0
1,0.76,0.74,0,0,0,0
1,0.99,1,0,0,0,0
1,0.95,0.86,0,0,0,0
1,0.71,0.28,0,0,1,0
1,0.98,0.83,0,0,0,0
1,0.89,0.65,0,0,0,0
1,0.99,0.89,0,0,0,0
1,0.76,0.98,0.96,0,0,1
1,0.82,0.88,0,0,0,0
1,0.14,0.95,0,1,0,0
1,0.67,0.99,0,0,0,0
1,0.99,0.99,0,0,0,0